Epoch [1/100], Train Loss: 0.4214, Train Accuracy: 87.18%, Val Loss: 0.2388, Val Accuracy: 91.71%
Epoch [2/100], Train Loss: 0.1988, Train Accuracy: 93.65%, Val Loss: 0.3623, Val Accuracy: 88.82%
Epoch [3/100], Train Loss: 0.1092, Train Accuracy: 96.59%, Val Loss: 0.1140, Val Accuracy: 96.83%
Epoch [4/100], Train Loss: 0.0679, Train Accuracy: 97.80%, Val Loss: 0.2071, Val Accuracy: 93.94%
Epoch [5/100], Train Loss: 0.0487, Train Accuracy: 98.56%, Val Loss: 0.1353, Val Accuracy: 96.55%
Epoch [6/100], Train Loss: 0.0863, Train Accuracy: 97.44%, Val Loss: 0.1581, Val Accuracy: 95.06%
Epoch [7/100], Train Loss: 0.0579, Train Accuracy: 98.12%, Val Loss: 0.1663, Val Accuracy: 94.41%
Epoch [8/100], Train Loss: 0.0631, Train Accuracy: 98.34%, Val Loss: 0.2778, Val Accuracy: 92.26%
Epoch [9/100], Train Loss: 0.0725, Train Accuracy: 97.50%, Val Loss: 0.1679, Val Accuracy: 94.13%
Epoch [10/100], Train Loss: 0.0445, Train Accuracy: 98.66%, Val Loss: 0.1113, Val Accuracy: 95.99%
Epoch [11/100], Train Loss: 0.0279, Train Accuracy: 99.20%, Val Loss: 0.0693, Val Accuracy: 97.95%
Epoch [12/100], Train Loss: 0.0434, Train Accuracy: 98.68%, Val Loss: 0.0875, Val Accuracy: 97.11%
Epoch [13/100], Train Loss: 0.0321, Train Accuracy: 99.04%, Val Loss: 0.0724, Val Accuracy: 97.58%
Epoch [14/100], Train Loss: 0.0541, Train Accuracy: 98.38%, Val Loss: 0.2391, Val Accuracy: 91.33%
Epoch [15/100], Train Loss: 0.0638, Train Accuracy: 98.06%, Val Loss: 0.2926, Val Accuracy: 92.92%
Epoch [16/100], Train Loss: 0.0487, Train Accuracy: 98.48%, Val Loss: 0.2810, Val Accuracy: 92.82%
Epoch [17/100], Train Loss: 0.0466, Train Accuracy: 98.58%, Val Loss: 0.0401, Val Accuracy: 98.42%
Epoch [18/100], Train Loss: 0.0184, Train Accuracy: 99.32%, Val Loss: 0.0863, Val Accuracy: 96.83%
Epoch [19/100], Train Loss: 0.0158, Train Accuracy: 99.70%, Val Loss: 0.0356, Val Accuracy: 99.07%
Epoch [20/100], Train Loss: 0.0266, Train Accuracy: 99.10%, Val Loss: 0.1244, Val Accuracy: 96.09%
Epoch [21/100], Train Loss: 0.0259, Train Accuracy: 99.24%, Val Loss: 0.0786, Val Accuracy: 97.86%
Epoch [22/100], Train Loss: 0.0313, Train Accuracy: 99.04%, Val Loss: 0.0621, Val Accuracy: 97.76%
Epoch [23/100], Train Loss: 0.0383, Train Accuracy: 98.80%, Val Loss: 0.0564, Val Accuracy: 98.42%
Epoch [24/100], Train Loss: 0.0241, Train Accuracy: 99.22%, Val Loss: 0.0559, Val Accuracy: 97.76%
Epoch [25/100], Train Loss: 0.0119, Train Accuracy: 99.70%, Val Loss: 0.0333, Val Accuracy: 98.79%
Epoch [26/100], Train Loss: 0.0045, Train Accuracy: 99.88%, Val Loss: 0.0351, Val Accuracy: 98.97%
Epoch [27/100], Train Loss: 0.0061, Train Accuracy: 99.86%, Val Loss: 0.0211, Val Accuracy: 99.25%
Epoch [28/100], Train Loss: 0.0044, Train Accuracy: 99.86%, Val Loss: 0.0468, Val Accuracy: 98.32%
Epoch [29/100], Train Loss: 0.0893, Train Accuracy: 97.24%, Val Loss: 0.3783, Val Accuracy: 91.15%
Epoch [30/100], Train Loss: 0.0971, Train Accuracy: 97.00%, Val Loss: 0.0584, Val Accuracy: 98.04%
Epoch [31/100], Train Loss: 0.0237, Train Accuracy: 99.30%, Val Loss: 0.0597, Val Accuracy: 97.95%
Epoch [32/100], Train Loss: 0.0063, Train Accuracy: 99.84%, Val Loss: 0.0491, Val Accuracy: 98.42%
