Epoch [1/100], Train Loss: 0.3745, Train Accuracy: 89.26%, Val Loss: 0.1844, Val Accuracy: 93.94%
Epoch [2/100], Train Loss: 0.1035, Train Accuracy: 96.90%, Val Loss: 0.0874, Val Accuracy: 97.95%
Epoch [3/100], Train Loss: 0.0558, Train Accuracy: 98.30%, Val Loss: 0.0402, Val Accuracy: 98.23%
Epoch [4/100], Train Loss: 0.0557, Train Accuracy: 98.24%, Val Loss: 0.0890, Val Accuracy: 97.11%
Epoch [5/100], Train Loss: 0.0499, Train Accuracy: 98.58%, Val Loss: 0.0715, Val Accuracy: 97.67%
Epoch [6/100], Train Loss: 0.0504, Train Accuracy: 98.44%, Val Loss: 0.0691, Val Accuracy: 97.58%
Epoch [7/100], Train Loss: 0.0493, Train Accuracy: 98.60%, Val Loss: 0.0504, Val Accuracy: 98.32%
Epoch [8/100], Train Loss: 0.0285, Train Accuracy: 99.22%, Val Loss: 0.0350, Val Accuracy: 99.07%
Epoch [9/100], Train Loss: 0.0257, Train Accuracy: 99.34%, Val Loss: 0.0400, Val Accuracy: 98.97%
Epoch [10/100], Train Loss: 0.0369, Train Accuracy: 98.72%, Val Loss: 0.0414, Val Accuracy: 98.88%
Epoch [11/100], Train Loss: 0.0323, Train Accuracy: 99.22%, Val Loss: 0.0570, Val Accuracy: 98.23%
Epoch [12/100], Train Loss: 0.0275, Train Accuracy: 99.20%, Val Loss: 0.0235, Val Accuracy: 99.16%
Epoch [13/100], Train Loss: 0.0467, Train Accuracy: 98.58%, Val Loss: 0.1138, Val Accuracy: 97.67%
Epoch [14/100], Train Loss: 0.0303, Train Accuracy: 99.20%, Val Loss: 0.0713, Val Accuracy: 97.76%
Epoch [15/100], Train Loss: 0.0184, Train Accuracy: 99.48%, Val Loss: 0.0092, Val Accuracy: 99.81%
Epoch [16/100], Train Loss: 0.0194, Train Accuracy: 99.56%, Val Loss: 0.0479, Val Accuracy: 98.60%
Epoch [17/100], Train Loss: 0.0211, Train Accuracy: 99.36%, Val Loss: 0.0487, Val Accuracy: 98.51%
Epoch [18/100], Train Loss: 0.0165, Train Accuracy: 99.42%, Val Loss: 0.0797, Val Accuracy: 98.23%
Epoch [19/100], Train Loss: 0.0160, Train Accuracy: 99.56%, Val Loss: 0.0964, Val Accuracy: 97.67%
Epoch [20/100], Train Loss: 0.0099, Train Accuracy: 99.76%, Val Loss: 0.0792, Val Accuracy: 98.14%
Epoch [21/100], Train Loss: 0.0224, Train Accuracy: 99.42%, Val Loss: 0.0559, Val Accuracy: 97.95%
Epoch [22/100], Train Loss: 0.0370, Train Accuracy: 99.02%, Val Loss: 0.0723, Val Accuracy: 97.39%
Epoch [23/100], Train Loss: 0.0352, Train Accuracy: 99.00%, Val Loss: 0.0974, Val Accuracy: 97.11%
Epoch [24/100], Train Loss: 0.0195, Train Accuracy: 99.36%, Val Loss: 0.0833, Val Accuracy: 97.48%
Epoch [25/100], Train Loss: 0.0083, Train Accuracy: 99.72%, Val Loss: 0.0672, Val Accuracy: 98.97%
Epoch [26/100], Train Loss: 0.0200, Train Accuracy: 99.50%, Val Loss: 0.0894, Val Accuracy: 97.86%
Epoch [27/100], Train Loss: 0.0464, Train Accuracy: 98.86%, Val Loss: 0.0465, Val Accuracy: 98.51%
Epoch [28/100], Train Loss: 0.0098, Train Accuracy: 99.62%, Val Loss: 0.0499, Val Accuracy: 98.32%
Epoch [29/100], Train Loss: 0.0132, Train Accuracy: 99.62%, Val Loss: 0.0338, Val Accuracy: 98.97%
Epoch [30/100], Train Loss: 0.0077, Train Accuracy: 99.84%, Val Loss: 0.0665, Val Accuracy: 98.32%
