Epoch [1/100], Train Loss: 0.3779, Train Accuracy: 88.26%, Val Loss: 0.1620, Val Accuracy: 95.25%
Epoch [2/100], Train Loss: 0.1614, Train Accuracy: 94.99%, Val Loss: 0.3826, Val Accuracy: 89.75%
Epoch [3/100], Train Loss: 0.1132, Train Accuracy: 96.49%, Val Loss: 0.1145, Val Accuracy: 96.74%
Epoch [4/100], Train Loss: 0.1036, Train Accuracy: 97.06%, Val Loss: 0.1295, Val Accuracy: 95.15%
Epoch [5/100], Train Loss: 0.0756, Train Accuracy: 97.48%, Val Loss: 0.0997, Val Accuracy: 96.55%
Epoch [6/100], Train Loss: 0.0559, Train Accuracy: 98.20%, Val Loss: 0.1500, Val Accuracy: 94.87%
Epoch [7/100], Train Loss: 0.1370, Train Accuracy: 95.83%, Val Loss: 0.1645, Val Accuracy: 95.34%
Epoch [8/100], Train Loss: 0.0429, Train Accuracy: 98.44%, Val Loss: 0.0653, Val Accuracy: 98.23%
Epoch [9/100], Train Loss: 0.0319, Train Accuracy: 98.84%, Val Loss: 0.0809, Val Accuracy: 98.04%
Epoch [10/100], Train Loss: 0.0776, Train Accuracy: 97.44%, Val Loss: 0.1647, Val Accuracy: 94.50%
Epoch [11/100], Train Loss: 0.0708, Train Accuracy: 97.84%, Val Loss: 0.1343, Val Accuracy: 96.46%
Epoch [12/100], Train Loss: 0.0920, Train Accuracy: 97.26%, Val Loss: 0.2392, Val Accuracy: 92.54%
Epoch [13/100], Train Loss: 0.0348, Train Accuracy: 99.04%, Val Loss: 0.1011, Val Accuracy: 97.02%
Epoch [14/100], Train Loss: 0.0229, Train Accuracy: 99.28%, Val Loss: 0.0682, Val Accuracy: 97.67%
Epoch [15/100], Train Loss: 0.0227, Train Accuracy: 99.34%, Val Loss: 0.0586, Val Accuracy: 98.04%
Epoch [16/100], Train Loss: 0.0449, Train Accuracy: 98.52%, Val Loss: 0.5114, Val Accuracy: 86.77%
Epoch [17/100], Train Loss: 0.0841, Train Accuracy: 97.40%, Val Loss: 0.1296, Val Accuracy: 96.64%
Epoch [18/100], Train Loss: 0.0419, Train Accuracy: 98.76%, Val Loss: 0.2612, Val Accuracy: 93.76%
Epoch [19/100], Train Loss: 0.0470, Train Accuracy: 98.56%, Val Loss: 0.1908, Val Accuracy: 95.25%
Epoch [20/100], Train Loss: 0.0446, Train Accuracy: 98.60%, Val Loss: 0.1590, Val Accuracy: 94.69%
Epoch [21/100], Train Loss: 0.0259, Train Accuracy: 99.30%, Val Loss: 0.0848, Val Accuracy: 98.04%
Epoch [22/100], Train Loss: 0.0195, Train Accuracy: 99.28%, Val Loss: 0.1469, Val Accuracy: 95.53%
Epoch [23/100], Train Loss: 0.0836, Train Accuracy: 97.44%, Val Loss: 0.1958, Val Accuracy: 95.34%
