Epoch [1/100], Train Loss: 0.7236, Train Accuracy: 76.66%, Val Loss: 0.4316, Val Accuracy: 86.11%
Epoch [2/100], Train Loss: 0.3354, Train Accuracy: 89.68%, Val Loss: 1.0239, Val Accuracy: 74.46%
Epoch [3/100], Train Loss: 0.2556, Train Accuracy: 91.83%, Val Loss: 0.4780, Val Accuracy: 86.30%
Epoch [4/100], Train Loss: 0.1989, Train Accuracy: 93.85%, Val Loss: 0.6097, Val Accuracy: 84.90%
Epoch [5/100], Train Loss: 0.1839, Train Accuracy: 94.05%, Val Loss: 0.2770, Val Accuracy: 90.68%
Epoch [6/100], Train Loss: 0.1562, Train Accuracy: 95.31%, Val Loss: 0.4695, Val Accuracy: 88.07%
Epoch [7/100], Train Loss: 0.1575, Train Accuracy: 95.15%, Val Loss: 0.5001, Val Accuracy: 87.05%
Epoch [8/100], Train Loss: 0.1152, Train Accuracy: 96.35%, Val Loss: 0.2334, Val Accuracy: 92.73%
Epoch [9/100], Train Loss: 0.0756, Train Accuracy: 97.62%, Val Loss: 0.1653, Val Accuracy: 95.06%
Epoch [10/100], Train Loss: 0.0565, Train Accuracy: 97.92%, Val Loss: 0.9401, Val Accuracy: 79.22%
Epoch [11/100], Train Loss: 0.1285, Train Accuracy: 95.93%, Val Loss: 0.5494, Val Accuracy: 88.91%
Epoch [12/100], Train Loss: 0.0941, Train Accuracy: 96.94%, Val Loss: 0.2674, Val Accuracy: 92.36%
Epoch [13/100], Train Loss: 0.0751, Train Accuracy: 97.74%, Val Loss: 0.2853, Val Accuracy: 92.64%
Epoch [14/100], Train Loss: 0.0650, Train Accuracy: 97.86%, Val Loss: 0.2038, Val Accuracy: 95.43%
Epoch [15/100], Train Loss: 0.0724, Train Accuracy: 97.68%, Val Loss: 0.1967, Val Accuracy: 94.59%
Epoch [16/100], Train Loss: 0.0439, Train Accuracy: 98.54%, Val Loss: 0.1571, Val Accuracy: 95.53%
Epoch [17/100], Train Loss: 0.0359, Train Accuracy: 98.70%, Val Loss: 0.7513, Val Accuracy: 85.55%
Epoch [18/100], Train Loss: 0.0657, Train Accuracy: 97.92%, Val Loss: 0.4752, Val Accuracy: 89.66%
Epoch [19/100], Train Loss: 0.0810, Train Accuracy: 97.36%, Val Loss: 0.3729, Val Accuracy: 90.49%
Epoch [20/100], Train Loss: 0.1044, Train Accuracy: 96.81%, Val Loss: 0.3309, Val Accuracy: 90.31%
Epoch [21/100], Train Loss: 0.0395, Train Accuracy: 98.74%, Val Loss: 0.1171, Val Accuracy: 96.92%
Epoch [22/100], Train Loss: 0.0204, Train Accuracy: 99.40%, Val Loss: 0.1273, Val Accuracy: 96.27%
Epoch [23/100], Train Loss: 0.0239, Train Accuracy: 99.26%, Val Loss: 0.1428, Val Accuracy: 96.74%
Epoch [24/100], Train Loss: 0.0345, Train Accuracy: 98.90%, Val Loss: 0.2977, Val Accuracy: 92.64%
Epoch [25/100], Train Loss: 0.1487, Train Accuracy: 95.91%, Val Loss: 0.1817, Val Accuracy: 95.62%
Epoch [26/100], Train Loss: 0.0466, Train Accuracy: 98.46%, Val Loss: 0.1688, Val Accuracy: 95.25%
Epoch [27/100], Train Loss: 0.0118, Train Accuracy: 99.72%, Val Loss: 0.1163, Val Accuracy: 97.20%
Epoch [28/100], Train Loss: 0.0063, Train Accuracy: 99.86%, Val Loss: 0.1093, Val Accuracy: 97.48%
Epoch [29/100], Train Loss: 0.0051, Train Accuracy: 99.84%, Val Loss: 0.1175, Val Accuracy: 97.58%
Epoch [30/100], Train Loss: 0.0171, Train Accuracy: 99.48%, Val Loss: 0.2726, Val Accuracy: 93.66%
Epoch [31/100], Train Loss: 0.2050, Train Accuracy: 94.11%, Val Loss: 0.2475, Val Accuracy: 93.48%
Epoch [32/100], Train Loss: 0.0520, Train Accuracy: 98.44%, Val Loss: 0.2289, Val Accuracy: 93.76%
Epoch [33/100], Train Loss: 0.0160, Train Accuracy: 99.48%, Val Loss: 0.1149, Val Accuracy: 96.83%
Epoch [34/100], Train Loss: 0.0096, Train Accuracy: 99.80%, Val Loss: 0.1157, Val Accuracy: 97.58%
Epoch [35/100], Train Loss: 0.0210, Train Accuracy: 99.36%, Val Loss: 0.1139, Val Accuracy: 96.55%
Epoch [36/100], Train Loss: 0.0299, Train Accuracy: 99.22%, Val Loss: 0.1926, Val Accuracy: 95.06%
Epoch [37/100], Train Loss: 0.0498, Train Accuracy: 98.28%, Val Loss: 0.2160, Val Accuracy: 93.85%
Epoch [38/100], Train Loss: 0.0708, Train Accuracy: 97.88%, Val Loss: 0.1117, Val Accuracy: 96.55%
Epoch [39/100], Train Loss: 0.0198, Train Accuracy: 99.56%, Val Loss: 0.1204, Val Accuracy: 97.20%
Epoch [40/100], Train Loss: 0.0122, Train Accuracy: 99.56%, Val Loss: 0.1925, Val Accuracy: 95.62%
Epoch [41/100], Train Loss: 0.0270, Train Accuracy: 99.10%, Val Loss: 0.9897, Val Accuracy: 82.67%
Epoch [42/100], Train Loss: 0.0561, Train Accuracy: 98.18%, Val Loss: 0.3794, Val Accuracy: 92.73%
Epoch [43/100], Train Loss: 0.0344, Train Accuracy: 98.92%, Val Loss: 0.3723, Val Accuracy: 93.10%
Epoch [44/100], Train Loss: 0.0257, Train Accuracy: 99.20%, Val Loss: 0.2839, Val Accuracy: 93.94%
