Epoch [1/100], Train Loss: 2.2638, Train Accuracy: 17.49%, Val Loss: 1.7842, Val Accuracy: 38.02%
Epoch [2/100], Train Loss: 1.7400, Train Accuracy: 39.46%, Val Loss: 1.5710, Val Accuracy: 42.96%
Epoch [3/100], Train Loss: 1.4911, Train Accuracy: 49.02%, Val Loss: 1.3474, Val Accuracy: 52.75%
Epoch [4/100], Train Loss: 1.2220, Train Accuracy: 60.34%, Val Loss: 1.0834, Val Accuracy: 63.00%
Epoch [5/100], Train Loss: 0.9575, Train Accuracy: 68.63%, Val Loss: 0.8682, Val Accuracy: 71.58%
Epoch [6/100], Train Loss: 0.7044, Train Accuracy: 77.50%, Val Loss: 0.6779, Val Accuracy: 78.38%
Epoch [7/100], Train Loss: 0.5457, Train Accuracy: 82.23%, Val Loss: 0.6157, Val Accuracy: 81.83%
Epoch [8/100], Train Loss: 0.4385, Train Accuracy: 85.82%, Val Loss: 0.8582, Val Accuracy: 74.00%
Epoch [9/100], Train Loss: 0.3318, Train Accuracy: 89.70%, Val Loss: 0.5765, Val Accuracy: 83.69%
Epoch [10/100], Train Loss: 0.2179, Train Accuracy: 93.21%, Val Loss: 0.6355, Val Accuracy: 85.00%
Epoch [11/100], Train Loss: 0.2143, Train Accuracy: 93.11%, Val Loss: 0.5640, Val Accuracy: 86.67%
Epoch [12/100], Train Loss: 0.1512, Train Accuracy: 95.07%, Val Loss: 0.6363, Val Accuracy: 84.34%
Epoch [13/100], Train Loss: 0.1711, Train Accuracy: 94.49%, Val Loss: 0.5618, Val Accuracy: 86.02%
Epoch [14/100], Train Loss: 0.1164, Train Accuracy: 96.41%, Val Loss: 0.5234, Val Accuracy: 86.86%
Epoch [15/100], Train Loss: 0.0819, Train Accuracy: 97.62%, Val Loss: 0.6088, Val Accuracy: 86.02%
Epoch [16/100], Train Loss: 0.0953, Train Accuracy: 97.06%, Val Loss: 0.7312, Val Accuracy: 86.02%
Epoch [17/100], Train Loss: 0.1444, Train Accuracy: 96.17%, Val Loss: 0.7464, Val Accuracy: 83.97%
Epoch [18/100], Train Loss: 0.0933, Train Accuracy: 97.14%, Val Loss: 0.5520, Val Accuracy: 86.30%
Epoch [19/100], Train Loss: 0.0676, Train Accuracy: 98.02%, Val Loss: 0.7062, Val Accuracy: 84.90%
Epoch [20/100], Train Loss: 0.0924, Train Accuracy: 97.62%, Val Loss: 0.5770, Val Accuracy: 86.67%
Epoch [21/100], Train Loss: 0.0336, Train Accuracy: 99.04%, Val Loss: 0.7886, Val Accuracy: 87.42%
Epoch [22/100], Train Loss: 0.0569, Train Accuracy: 98.46%, Val Loss: 0.6323, Val Accuracy: 87.14%
Epoch [23/100], Train Loss: 0.0416, Train Accuracy: 98.94%, Val Loss: 0.6616, Val Accuracy: 86.58%
Epoch [24/100], Train Loss: 0.0716, Train Accuracy: 98.26%, Val Loss: 0.6229, Val Accuracy: 88.26%
Epoch [25/100], Train Loss: 0.0533, Train Accuracy: 98.42%, Val Loss: 0.6524, Val Accuracy: 86.77%
Epoch [26/100], Train Loss: 0.0207, Train Accuracy: 99.38%, Val Loss: 0.6848, Val Accuracy: 88.44%
Epoch [27/100], Train Loss: 0.0765, Train Accuracy: 98.02%, Val Loss: 0.7970, Val Accuracy: 86.39%
Epoch [28/100], Train Loss: 0.0967, Train Accuracy: 97.56%, Val Loss: 0.7359, Val Accuracy: 85.00%
Epoch [29/100], Train Loss: 0.1037, Train Accuracy: 97.72%, Val Loss: 0.9379, Val Accuracy: 83.60%
Epoch [30/100], Train Loss: 0.0323, Train Accuracy: 99.00%, Val Loss: 0.6287, Val Accuracy: 88.54%
Epoch [31/100], Train Loss: 0.0213, Train Accuracy: 99.26%, Val Loss: 0.7856, Val Accuracy: 87.14%
Epoch [32/100], Train Loss: 0.0469, Train Accuracy: 98.76%, Val Loss: 0.6421, Val Accuracy: 88.35%
Epoch [33/100], Train Loss: 0.0317, Train Accuracy: 99.02%, Val Loss: 0.7134, Val Accuracy: 87.70%
Epoch [34/100], Train Loss: 0.0202, Train Accuracy: 99.46%, Val Loss: 0.6686, Val Accuracy: 88.82%
Epoch [35/100], Train Loss: 0.0063, Train Accuracy: 99.78%, Val Loss: 0.8784, Val Accuracy: 87.88%
